"Selected services, annual movement (%)"
,"Jun-22","Sep-22","Dec-22","Mar-23","Jun-23"
"Vet & other pet services","7.3","7.8","8.7","8.2","7.7"
"Restaurant meals","5","5.8","6.9","7","6.5"
"Rents","1.6","2.8","4","4.9","6.7"
"Hairdressing & personal grooming services","4.6","5.2","6","6.3","7.1"
"Maintenance & repair of dwelling","5.9","6.7","5.8","6.1","5.7"
"Insurance","3.1","4.2","6.3","8.8","14.2"
"Financial services","3.3","4.2","4.8","5.9","7.1"
"Services - total","3.3","4.1","5.5","6.1","6.3"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023"