Date,Location,Annual Movement (%)
Jun-00,Sydney,3.9
Sep-00,Sydney,4.2
Dec-00,Sydney,4.0
Mar-01,Sydney,4.3
Jun-01,Sydney,4.2
Sep-01,Sydney,4.0
Dec-01,Sydney,3.8
Mar-02,Sydney,2.7
Jun-02,Sydney,2.5
Sep-02,Sydney,1.9
Dec-02,Sydney,1.5
Mar-03,Sydney,1.2
Jun-03,Sydney,0.4
Sep-03,Sydney,1.2
Dec-03,Sydney,1.5
Mar-04,Sydney,2.0
Jun-04,Sydney,2.2
Sep-04,Sydney,1.4
Dec-04,Sydney,1.4
Mar-05,Sydney,1.1
Jun-05,Sydney,1.4
Sep-05,Sydney,1.7
Dec-05,Sydney,1.8
Mar-06,Sydney,2.3
Jun-06,Sydney,2.0
Sep-06,Sydney,2.4
Dec-06,Sydney,2.8
Mar-07,Sydney,3.3
Jun-07,Sydney,4.3
Sep-07,Sydney,4.9
Dec-07,Sydney,5.4
Mar-08,Sydney,6.0
Jun-08,Sydney,7.1
Sep-08,Sydney,7.4
Dec-08,Sydney,8.1
Mar-09,Sydney,7.9
Jun-09,Sydney,7.0
Sep-09,Sydney,6.8
Dec-09,Sydney,5.7
Mar-10,Sydney,5.1
Jun-10,Sydney,4.8
Sep-10,Sydney,4.8
Dec-10,Sydney,5.1
Mar-11,Sydney,5.7
Jun-11,Sydney,5.9
Sep-11,Sydney,6.1
Dec-11,Sydney,6.2
Mar-12,Sydney,5.7
Jun-12,Sydney,5.5
Sep-12,Sydney,4.8
Dec-12,Sydney,4.4
Mar-13,Sydney,4.0
Jun-13,Sydney,3.9
Sep-13,Sydney,3.6
Dec-13,Sydney,3.4
Mar-14,Sydney,3.3
Jun-14,Sydney,3.0
Sep-14,Sydney,3.2
Dec-14,Sydney,3.2
Mar-15,Sydney,2.9
Jun-15,Sydney,2.5
Sep-15,Sydney,2.5
Dec-15,Sydney,2.3
Mar-16,Sydney,2.3
Jun-16,Sydney,2.2
Sep-16,Sydney,2.5
Dec-16,Sydney,2.5
Mar-17,Sydney,2.5
Jun-17,Sydney,2.5
Sep-17,Sydney,2.3
Dec-17,Sydney,2.4
Mar-18,Sydney,2.4
Jun-18,Sydney,2.2
Sep-18,Sydney,1.9
Dec-18,Sydney,1.4
Mar-19,Sydney,0.7
Jun-19,Sydney,0.3
Sep-19,Sydney,-0.2
Dec-19,Sydney,-0.8
Mar-20,Sydney,-1.0
Jun-20,Sydney,-3.0
Sep-20,Sydney,-3.1
Dec-20,Sydney,-2.8
Mar-21,Sydney,-2.9
Jun-21,Sydney,-1.5
Sep-21,Sydney,-1.6
Dec-21,Sydney,-1.9
Mar-22,Sydney,-1.2
Jun-22,Sydney,-0.3
Sep-22,Sydney,1.6
Dec-22,Sydney,3.3
Mar-23,Sydney,4.8
Jun-23,Sydney,7.3
"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023",Sydney,
Jun-00,Melbourne,3.3
Sep-00,Melbourne,2.8
Dec-00,Melbourne,2.8
Mar-01,Melbourne,2.5
Jun-01,Melbourne,2.6
Sep-01,Melbourne,2.7
Dec-01,Melbourne,3.0
Mar-02,Melbourne,3.0
Jun-02,Melbourne,2.7
Sep-02,Melbourne,2.4
Dec-02,Melbourne,2.1
Mar-03,Melbourne,1.7
Jun-03,Melbourne,1.7
Sep-03,Melbourne,1.4
Dec-03,Melbourne,1.6
Mar-04,Melbourne,1.6
Jun-04,Melbourne,1.6
Sep-04,Melbourne,2.0
Dec-04,Melbourne,1.6
Mar-05,Melbourne,1.6
Jun-05,Melbourne,1.5
Sep-05,Melbourne,1.1
Dec-05,Melbourne,1.1
Mar-06,Melbourne,1.2
Jun-06,Melbourne,1.4
Sep-06,Melbourne,2.2
Dec-06,Melbourne,2.8
Mar-07,Melbourne,3.5
Jun-07,Melbourne,4.2
Sep-07,Melbourne,4.6
Dec-07,Melbourne,5.4
Mar-08,Melbourne,5.7
Jun-08,Melbourne,6.1
Sep-08,Melbourne,6.4
Dec-08,Melbourne,6.5
Mar-09,Melbourne,6.6
Jun-09,Melbourne,6.1
Sep-09,Melbourne,5.3
Dec-09,Melbourne,4.9
Mar-10,Melbourne,4.4
Jun-10,Melbourne,4.1
Sep-10,Melbourne,4.4
Dec-10,Melbourne,3.8
Mar-11,Melbourne,4.2
Jun-11,Melbourne,3.9
Sep-11,Melbourne,4.1
Dec-11,Melbourne,4.0
Mar-12,Melbourne,3.4
Jun-12,Melbourne,3.6
Sep-12,Melbourne,2.6
Dec-12,Melbourne,2.5
Mar-13,Melbourne,2.3
Jun-13,Melbourne,1.8
Sep-13,Melbourne,2.1
Dec-13,Melbourne,2.0
Mar-14,Melbourne,1.9
Jun-14,Melbourne,1.7
Sep-14,Melbourne,1.9
Dec-14,Melbourne,2.4
Mar-15,Melbourne,2.5
Jun-15,Melbourne,2.6
Sep-15,Melbourne,2.2
Dec-15,Melbourne,1.7
Mar-16,Melbourne,1.4
Jun-16,Melbourne,1.4
Sep-16,Melbourne,1.4
Dec-16,Melbourne,1.6
Mar-17,Melbourne,1.7
Jun-17,Melbourne,1.7
Sep-17,Melbourne,1.8
Dec-17,Melbourne,1.8
Mar-18,Melbourne,2.2
Jun-18,Melbourne,1.9
Sep-18,Melbourne,1.8
Dec-18,Melbourne,1.8
Mar-19,Melbourne,1.6
Jun-19,Melbourne,1.7
Sep-19,Melbourne,1.7
Dec-19,Melbourne,1.7
Mar-20,Melbourne,1.5
Jun-20,Melbourne,0.1
Sep-20,Melbourne,-0.7
Dec-20,Melbourne,-1.0
Mar-21,Melbourne,-1.4
Jun-21,Melbourne,-0.8
Sep-21,Melbourne,-0.7
Dec-21,Melbourne,-1.1
Mar-22,Melbourne,-0.9
Jun-22,Melbourne,-0.2
Sep-22,Melbourne,1.2
Dec-22,Melbourne,2.2
Mar-23,Melbourne,3.1
Jun-23,Melbourne,5.0
"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023",Melbourne,
Jun-00,Brisbane,1.2
Sep-00,Brisbane,1.6
Dec-00,Brisbane,1.9
Mar-01,Brisbane,1.9
Jun-01,Brisbane,2.2
Sep-01,Brisbane,1.9
Dec-01,Brisbane,1.9
Mar-02,Brisbane,2.2
Jun-02,Brisbane,2.3
Sep-02,Brisbane,3.0
Dec-02,Brisbane,3.0
Mar-03,Brisbane,3.5
Jun-03,Brisbane,3.6
Sep-03,Brisbane,3.4
Dec-03,Brisbane,4.3
Mar-04,Brisbane,4.3
Jun-04,Brisbane,4.6
Sep-04,Brisbane,4.7
Dec-04,Brisbane,4.2
Mar-05,Brisbane,4.3
Jun-05,Brisbane,4.2
Sep-05,Brisbane,4.9
Dec-05,Brisbane,5.5
Mar-06,Brisbane,5.9
Jun-06,Brisbane,6.2
Sep-06,Brisbane,5.7
Dec-06,Brisbane,5.3
Mar-07,Brisbane,5.8
Jun-07,Brisbane,6.5
Sep-07,Brisbane,8.0
Dec-07,Brisbane,8.5
Mar-08,Brisbane,9.2
Jun-08,Brisbane,9.3
Sep-08,Brisbane,9.9
Dec-08,Brisbane,10.1
Mar-09,Brisbane,9.2
Jun-09,Brisbane,8.1
Sep-09,Brisbane,6.0
Dec-09,Brisbane,4.9
Mar-10,Brisbane,4.0
Jun-10,Brisbane,3.8
Sep-10,Brisbane,3.3
Dec-10,Brisbane,3.0
Mar-11,Brisbane,3.0
Jun-11,Brisbane,2.6
Sep-11,Brisbane,2.8
Dec-11,Brisbane,2.9
Mar-12,Brisbane,2.9
Jun-12,Brisbane,2.8
Sep-12,Brisbane,2.7
Dec-12,Brisbane,2.7
Mar-13,Brisbane,2.5
Jun-13,Brisbane,2.3
Sep-13,Brisbane,2.2
Dec-13,Brisbane,2.1
Mar-14,Brisbane,2.2
Jun-14,Brisbane,2.2
Sep-14,Brisbane,2.1
Dec-14,Brisbane,2.0
Mar-15,Brisbane,1.6
Jun-15,Brisbane,1.4
Sep-15,Brisbane,1.1
Dec-15,Brisbane,1.0
Mar-16,Brisbane,0.7
Jun-16,Brisbane,0.5
Sep-16,Brisbane,0.6
Dec-16,Brisbane,0.2
Mar-17,Brisbane,0.3
Jun-17,Brisbane,0.0
Sep-17,Brisbane,-0.4
Dec-17,Brisbane,-0.4
Mar-18,Brisbane,-0.5
Jun-18,Brisbane,-0.5
Sep-18,Brisbane,-0.1
Dec-18,Brisbane,0.0
Mar-19,Brisbane,0.2
Jun-19,Brisbane,0.3
Sep-19,Brisbane,0.2
Dec-19,Brisbane,0.3
Mar-20,Brisbane,0.3
Jun-20,Brisbane,-0.4
Sep-20,Brisbane,-0.6
Dec-20,Brisbane,-0.3
Mar-21,Brisbane,0.2
Jun-21,Brisbane,1.7
Sep-21,Brisbane,2.8
Dec-21,Brisbane,3.0
Mar-22,Brisbane,3.7
Jun-22,Brisbane,4.0
Sep-22,Brisbane,4.8
Dec-22,Brisbane,6.0
Mar-23,Brisbane,7.0
Jun-23,Brisbane,8.9
"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023",Brisbane,
Jun-00,Australia,3.1
Sep-00,Australia,3.4
Dec-00,Australia,3.1
Mar-01,Australia,3.2
Jun-01,Australia,3.2
Sep-01,Australia,3.0
Dec-01,Australia,3.1
Mar-02,Australia,2.8
Jun-02,Australia,2.6
Sep-02,Australia,2.4
Dec-02,Australia,2.1
Mar-03,Australia,1.8
Jun-03,Australia,1.6
Sep-03,Australia,1.8
Dec-03,Australia,2.2
Mar-04,Australia,2.5
Jun-04,Australia,2.6
Sep-04,Australia,2.6
Dec-04,Australia,2.3
Mar-05,Australia,2.2
Jun-05,Australia,2.1
Sep-05,Australia,2.1
Dec-05,Australia,2.4
Mar-06,Australia,2.8
Jun-06,Australia,2.9
Sep-06,Australia,3.5
Dec-06,Australia,3.7
Mar-07,Australia,4.4
Jun-07,Australia,5.2
Sep-07,Australia,5.8
Dec-07,Australia,6.5
Mar-08,Australia,7.0
Jun-08,Australia,7.8
Sep-08,Australia,8.1
Dec-08,Australia,8.4
Mar-09,Australia,8.1
Jun-09,Australia,7.2
Sep-09,Australia,6.2
Dec-09,Australia,5.2
Mar-10,Australia,4.7
Jun-10,Australia,4.3
Sep-10,Australia,4.2
Dec-10,Australia,4.3
Mar-11,Australia,4.5
Jun-11,Australia,4.5
Sep-11,Australia,4.7
Dec-11,Australia,4.7
Mar-12,Australia,4.5
Jun-12,Australia,4.4
Sep-12,Australia,4.0
Dec-12,Australia,3.7
Mar-13,Australia,3.5
Jun-13,Australia,3.4
Sep-13,Australia,3.2
Dec-13,Australia,3.0
Mar-14,Australia,2.9
Jun-14,Australia,2.4
Sep-14,Australia,2.5
Dec-14,Australia,2.4
Mar-15,Australia,2.1
Jun-15,Australia,1.9
Sep-15,Australia,1.5
Dec-15,Australia,1.2
Mar-16,Australia,0.9
Jun-16,Australia,0.7
Sep-16,Australia,0.7
Dec-16,Australia,0.6
Mar-17,Australia,0.6
Jun-17,Australia,0.6
Sep-17,Australia,0.5
Dec-17,Australia,0.7
Mar-18,Australia,0.8
Jun-18,Australia,0.6
Sep-18,Australia,0.6
Dec-18,Australia,0.5
Mar-19,Australia,0.4
Jun-19,Australia,0.4
Sep-19,Australia,0.4
Dec-19,Australia,0.2
Mar-20,Australia,0.2
Jun-20,Australia,-1.2
Sep-20,Australia,-1.4
Dec-20,Australia,-1.3
Mar-21,Australia,-1.4
Jun-21,Australia,0.0
Sep-21,Australia,0.4
Dec-21,Australia,0.4
Mar-22,Australia,1.0
Jun-22,Australia,1.6
Sep-22,Australia,2.8
Dec-22,Australia,4.0
Mar-23,Australia,4.9
Jun-23,Australia,6.7
"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023",Australia,
